price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,yr_sold,mn_sold,day_sold,id,orig.id
685000,3,1.75,1650,8400,1,0,0,3,8,1470,180,1959,0,98040,47.5766,-122.236,2020,7777,2014,09,24,14274,9941
1790000,4,3.5,5490,14300,1,0,4,3,12,2910,2580,1996,0,98006,47.5511,-122.114,4290,13822,2014,10,30,11830,8229
443500,3,2,1920,7598,1,0,0,4,8,1920,0,1972,0,98177,47.7735,-122.363,2220,7598,2014,10,14,1589,1129
433200,3,2.5,2075,16200,2,0,0,3,8,2075,0,2002,0,98045,47.4848,-121.698,2300,32379,2014,08,07,12822,8921
250275,2,1,790,11234,1,0,0,4,6,790,0,1942,0,98166,47.4413,-122.349,1930,11871,2014,06,18,1235,878
222500,3,1,990,10125,1,0,0,3,7,990,0,1972,0,98042,47.3422,-122.089,1360,10125,2014,10,02,12477,8677
1800000,5,4.5,4400,15580,2,0,0,3,11,3390,1010,2003,0,98004,47.6232,-122.207,2150,14249,2014,06,05,11285,7845
808100,4,3.25,3020,13457,1,0,0,5,9,3020,0,1956,0,98133,47.7174,-122.336,2120,7553,2014,11,07,8481,5922
268500,4,1.75,1670,8000,1,0,0,4,8,1670,0,1974,0,98023,47.3193,-122.383,1720,8000,2014,08,12,9332,6526
269000,3,1.5,1320,2625,2,0,0,3,7,1320,0,1986,0,98133,47.7316,-122.338,1230,5250,2014,08,18,17416,12204
506000,4,2.25,2040,12000,1,0,0,4,7,1300,740,1963,0,98028,47.7362,-122.241,1930,12000,2015,04,16,7229,5071
572000,3,1.75,1850,22767,1.5,0,4,5,6,1850,0,1908,0,98074,47.6144,-122.067,2700,17906,2015,02,25,15789,11041
339999,4,2,1740,6369,1,0,0,5,6,870,870,1954,0,98133,47.7461,-122.332,1560,7200,2014,08,07,4140,2900
373000,3,1,1290,8974,1,0,0,5,7,1290,0,1976,0,98072,47.74,-122.173,1540,7500,2014,11,10,10150,7075
269800,4,2.75,1830,3420,2,0,0,3,8,1830,0,2012,0,98198,47.366,-122.308,1813,3420,2014,07,28,20959,14662
1770000,3,2.5,2580,14603,1,0,2,4,9,2580,0,1951,0,98004,47.6199,-122.212,2410,14347,2015,03,04,15136,10570
204950,4,1.75,1740,9344,1,0,0,3,7,1180,560,1978,0,98023,47.3196,-122.399,1440,12884,2014,06,17,6607,4650
320000,3,2.25,1650,7047,2,0,0,3,7,1650,0,1994,0,98038,47.3826,-122.027,2010,7763,2015,03,16,13841,9638
308000,2,1,1080,6250,1,0,2,4,7,1080,0,1942,1968,98118,47.5128,-122.251,2100,6875,2014,10,28,3055,2159
340000,4,1.75,1400,8374,1,0,0,3,7,1400,0,1953,0,98166,47.4735,-122.344,1420,8360,2015,05,11,4966,3476
265000,4,1.5,1240,8158,1,0,0,4,7,1110,130,1961,0,98198,47.3716,-122.31,1520,8147,2015,03,19,2752,1948
158000,3,2.5,1520,7200,2,0,0,4,7,1520,0,1985,0,98030,47.3679,-122.182,1780,7210,2014,09,09,3671,2580
455000,3,1,2400,17239,1,0,0,4,7,1890,510,1940,0,98028,47.75,-122.245,2390,7350,2015,04,27,2160,1530
645000,3,2.5,1900,1258,2.5,0,0,3,7,1700,200,2007,0,98119,47.6465,-122.358,1780,1877,2015,03,10,21281,14892
550000,3,2.75,2330,4780,2,0,3,3,8,1730,600,1930,1988,98198,47.3459,-122.326,1100,5336,2014,10,14,18010,12631
490000,4,2.5,2510,4349,2,0,0,3,8,2510,0,2010,0,98059,47.4927,-122.147,2510,4314,2014,07,23,21313,14918
402500,2,1,800,2280,1,0,0,5,6,800,0,1946,0,98107,47.6588,-122.362,1310,4200,2014,07,01,10471,7289
406500,3,2,1780,8621,1,0,0,3,8,1780,0,1992,0,98059,47.5062,-122.149,2470,8542,2014,09,27,17596,12328
480000,3,2,1460,7860,1,0,0,5,7,1460,0,1967,0,98008,47.6233,-122.108,1850,8148,2015,03,17,6582,4633
2580000,4,4.25,5540,15408,2,0,1,3,11,4280,1260,2006,0,98004,47.6071,-122.212,3570,14750,2014,12,05,9323,6519
346000,2,1,1070,2196,1,0,0,4,7,880,190,1917,0,98144,47.5726,-122.308,1160,3600,2014,10,01,6193,4344
264000,3,1.75,1760,7482,1,0,0,4,8,1760,0,1966,0,98023,47.3129,-122.369,2000,7500,2014,06,23,1727,1222
244000,3,1.75,1500,7475,1,0,0,4,8,1500,0,1976,0,98023,47.3155,-122.365,1940,7475,2014,12,17,15196,10618
410000,4,2.5,2510,5258,2,0,0,3,7,2510,0,2001,0,98056,47.4818,-122.188,2570,5119,2015,03,17,14743,10279
237000,3,2,1210,6634,1,0,0,4,7,1210,0,1985,0,98031,47.4097,-122.193,1560,7200,2014,08,12,15273,10675
905000,3,2.5,3520,237402,2.5,0,0,3,9,3520,0,2004,0,98092,47.2687,-122.056,2310,165963,2014,12,31,4082,2858
340768,3,1.5,1510,11200,1,0,0,4,8,1510,0,1960,0,98003,47.3347,-122.325,2110,12070,2014,12,19,19582,13702
2150000,3,2.75,3470,9610,3,1,4,3,11,3470,0,1989,2000,98034,47.7205,-122.26,4130,11875,2015,01,05,7701,5400
280000,3,2.5,1580,7000,2,0,0,3,8,1580,0,1992,0,98030,47.3659,-122.17,2110,7062,2014,07,18,14203,9888
360000,4,2.5,2210,17715,2,0,0,3,8,2210,0,1997,0,98030,47.3818,-122.2,2210,16907,2014,07,28,741,526
317750,3,2.5,1980,4500,2,0,0,3,7,1980,0,2012,0,98042,47.3682,-122.117,1980,4500,2014,08,28,21401,14978
270000,3,2.25,2080,4252,1.5,0,0,3,7,1550,530,2003,0,98042,47.4203,-122.157,2080,2275,2014,06,04,1517,1069
278800,4,2.5,2440,7797,1,0,0,3,8,1560,880,1965,0,98031,47.3895,-122.222,2090,8100,2015,02,10,7885,5522
429950,4,1.75,1700,10230,1,0,0,3,8,1320,380,1959,0,98133,47.7453,-122.351,2000,8006,2015,02,04,11811,8214
415000,2,1,910,3750,1,0,0,3,7,910,0,1904,0,98117,47.6772,-122.369,1160,4000,2014,09,11,8359,5838
582000,3,1.75,1820,3140,2,0,0,5,8,1820,0,1949,1990,98136,47.5271,-122.384,2030,5499,2014,12,31,8394,5862
260000,3,2,1920,8075,1,0,0,4,7,1510,410,1969,0,98023,47.3092,-122.375,1920,7826,2014,05,09,9072,6337
328000,4,2.75,1930,3840,1,0,0,3,7,1170,760,1997,0,98106,47.5303,-122.346,1610,3840,2014,12,22,7841,5491
1030000,4,3.5,4370,10860,2,0,0,3,11,4370,0,2008,0,98059,47.5066,-122.148,3560,8070,2014,07,03,21209,14835
759000,3,2.25,2950,78843,1.5,0,0,3,9,2950,0,2006,0,98075,47.5917,-122.068,3880,78843,2014,05,09,13377,9320
709000,4,1.75,2170,4600,1,0,0,3,7,1270,900,1950,0,98117,47.6894,-122.384,1750,4000,2015,05,07,10764,7494
225000,3,1.5,1390,12500,1,0,0,4,6,1390,0,1976,0,98014,47.6496,-121.908,1390,9000,2014,11,18,13179,9175
509000,2,2,1560,4675,1,0,0,3,8,1560,0,2006,0,98053,47.7086,-122.019,1870,6361,2014,09,23,2531,1791
345000,2,2.25,1110,1290,3,0,0,3,8,1110,0,2006,0,98103,47.6968,-122.34,1360,1251,2014,10,30,19714,13804
620000,4,2.5,2720,34498,1,0,0,5,7,1360,1360,1966,0,98075,47.5832,-122.02,1920,22474,2014,09,23,17267,12102
472000,3,2.5,1860,415126,2,0,0,3,7,1860,0,2006,0,98038,47.3974,-122.005,2070,54014,2015,05,07,19895,13928
366000,2,1,1210,3090,1,0,0,3,6,860,350,1926,0,98118,47.5532,-122.277,1210,3348,2014,09,18,14130,9831
717000,4,2.5,2780,7985,2,0,0,4,10,2780,0,1992,0,98029,47.5608,-122.016,2650,8094,2015,03,12,7039,4939
157000,1,1,870,26326,1,0,0,3,6,870,0,1939,0,98198,47.4152,-122.3,1250,10608,2014,11,18,649,465
950000,4,3.25,3820,15293,2,0,0,3,10,3820,0,2003,0,98074,47.6097,-122.017,2790,7142,2014,07,14,18981,13284
489500,4,3.5,2730,5707,2,0,0,3,8,2000,730,2011,0,98019,47.7327,-121.965,2430,5899,2015,05,07,19764,13837
1180000,5,2.25,3270,16553,2,0,2,5,9,2470,800,1968,0,98040,47.5428,-122.236,3690,17916,2014,09,21,11472,7976
330000,3,1,1060,20040,1,0,0,3,6,1060,0,1943,0,98034,47.7281,-122.235,1768,10800,2015,05,06,13476,9392
355000,4,2,1870,3497,1,0,0,3,7,1200,670,1954,0,98106,47.5309,-122.347,1270,3497,2015,03,11,5516,3863
246000,3,1,990,9145,1.5,0,0,4,6,990,0,1939,0,98146,47.5022,-122.36,1640,8320,2015,03,11,13387,9326
672500,2,1.75,1860,5940,1,0,2,5,8,1020,840,1956,0,98116,47.5751,-122.407,2130,5940,2014,08,06,11895,8276
470000,6,1.75,2490,8732,1.5,0,0,4,8,2490,0,1966,0,98034,47.7252,-122.187,1840,8024,2015,02,24,2672,1895
320000,4,2.75,2610,9077,1,0,0,4,8,1310,1300,1987,0,98058,47.4612,-122.147,1900,10500,2014,07,16,4434,3101
229500,3,1.75,1770,33224,1,0,0,4,8,1770,0,1968,0,98092,47.3377,-122.194,1690,22069,2014,06,04,19218,13453
699000,4,2.5,2440,14470,1,0,0,4,9,1660,780,1970,0,98005,47.6401,-122.168,2810,15564,2014,12,09,15034,10492
329000,3,1,900,9600,1,0,0,4,7,900,0,1970,0,98072,47.7423,-122.173,1220,8240,2015,05,05,5678,3990
450000,2,2,1610,6160,2,0,0,4,8,1610,0,1977,0,98052,47.6644,-122.13,1750,6305,2015,04,10,9849,6877
996000,3,3.25,3620,8131,2,0,0,4,10,2730,890,1988,0,98040,47.5776,-122.214,2040,3776,2014,09,22,14539,10140
450000,2,1,910,5000,1,0,0,4,6,910,0,1914,0,98117,47.683,-122.374,1480,5000,2014,08,26,9684,6764
475000,3,2.5,1460,4961,1,0,0,4,8,1150,310,1988,0,98033,47.6955,-122.183,1550,5449,2014,12,02,1867,1328
638000,3,2,1660,3729,1,0,0,5,7,970,690,1922,0,98116,47.5741,-122.414,1560,3729,2014,06,26,12573,8749
305000,3,3,1290,1112,3,0,0,3,7,1290,0,2008,0,98125,47.7282,-122.296,1230,9000,2014,10,01,19961,13973
1670000,4,3.75,3450,8395,2,0,4,4,10,2640,810,1993,0,98122,47.6134,-122.282,3180,5183,2014,07,20,12189,8479
295000,3,2,1230,3405,1,0,0,3,7,1230,0,2010,0,98058,47.438,-122.179,1440,4066,2015,04,24,21361,14950
321000,4,2.5,1830,9601,2,0,0,3,7,1830,0,2003,0,98038,47.3541,-122.015,1830,5892,2014,07,01,16306,11409
315000,4,2.75,1580,3770,1,0,0,3,7,1080,500,2002,0,98019,47.7368,-121.968,1740,3800,2014,12,31,9264,6473
675900,3,2.5,2920,9096,2,0,0,3,9,2920,0,2013,0,98059,47.4855,-122.149,2930,7995,2014,09,08,21193,14823
808000,4,2.25,2190,4104,2,0,0,5,8,1410,780,1928,0,98112,47.6419,-122.306,1990,3860,2014,09,11,10027,6995
485000,3,1.75,2180,7318,1,0,0,4,7,1210,970,1967,0,98126,47.5251,-122.37,2140,7560,2015,04,08,16966,11894
350000,4,2.25,2190,3850,2,0,0,3,7,2190,0,2006,0,98059,47.4854,-122.16,1900,3850,2014,12,01,13948,9714
585000,4,1.75,1760,5356,1,0,0,4,7,920,840,1950,0,98115,47.679,-122.288,1680,5184,2014,11,05,1211,858
300500,2,1.5,1190,801,3,0,0,3,8,1190,0,2010,0,98106,47.5212,-122.358,1190,810,2015,04,23,20191,14128
475000,5,2.75,3080,6600,2,0,0,3,9,3080,0,2002,0,98058,47.4501,-122.122,3080,6600,2015,03,20,9682,6763
273148,3,1.75,1710,7210,1,0,0,4,7,1240,470,1974,0,98031,47.4094,-122.175,1840,7245,2014,09,02,18352,12864
710000,3,1,1400,2250,1.5,0,0,3,7,1400,0,1909,0,98119,47.6373,-122.358,1630,3600,2015,03,27,13187,9182
255000,4,1.75,1650,7200,1,0,0,3,7,1100,550,1977,0,98031,47.3944,-122.187,1620,7374,2014,10,28,16248,11367
691100,3,2.75,2360,16117,1,0,0,4,8,1710,650,1983,0,98006,47.5698,-122.121,2120,16117,2015,04,21,454,316
665000,3,1,1650,5102,1,0,0,4,8,1300,350,1953,0,98199,47.6524,-122.404,1440,5102,2014,12,11,19096,13363
349500,3,1.75,1260,7128,1,0,0,4,7,1260,0,1969,0,98034,47.7263,-122.205,1330,7326,2014,08,25,1024,733
872500,4,2,1990,6000,1,0,0,3,9,1260,730,1956,2015,98199,47.6515,-122.397,1770,6000,2015,05,01,19445,13602
353900,3,2.5,2517,3900,2,0,0,3,8,2517,0,2014,0,98092,47.3211,-122.182,2390,7108,2014,09,18,21410,14986
392800,3,2,1080,11856,1,0,0,5,7,1080,0,1986,0,98033,47.6955,-122.175,1220,9247,2015,01,28,8972,6273
303100,3,1.5,1640,5650,1,0,0,3,8,1640,0,1952,0,98178,47.509,-122.251,1640,5650,2014,10,22,6990,4907
467500,3,1.75,2260,8512,1,0,0,3,7,1130,1130,1948,0,98125,47.7129,-122.304,2240,8040,2014,09,29,7202,5051
206000,3,1,1050,5233,1,0,0,5,5,1050,0,1906,0,98010,47.3106,-121.999,970,7500,2014,10,28,3305,2330
1040000,4,3.5,4440,10660,2,0,0,3,11,4440,0,2003,0,98059,47.5294,-122.137,4390,9976,2014,07,09,13434,9359
386000,4,2.25,2810,8560,1,0,0,3,8,1610,1200,1979,0,98058,47.4437,-122.124,2400,7600,2015,04,21,16718,11706
975000,3,2.5,2530,7000,2.5,0,4,3,9,2530,0,1915,1999,98136,47.5465,-122.398,2380,7000,2015,04,09,9196,6429
529900,5,2.25,3030,9430,2,0,0,4,8,2600,430,1961,0,98133,47.7515,-122.353,2230,8425,2014,10,02,5680,3992
435000,4,2.25,1990,8548,2,0,0,3,8,1990,0,1973,0,98033,47.667,-122.178,2320,8926,2014,12,03,2410,1706
480000,4,2,2180,10575,1,0,0,2,6,1730,450,1950,0,98005,47.589,-122.177,2180,12010,2014,11,03,703,501
503000,3,1.75,2070,9827,1,0,0,4,7,1420,650,1967,0,98027,47.522,-122.05,2150,9827,2015,04,07,17084,11980
215000,3,1,880,7648,1,0,2,4,6,880,0,1940,0,98022,47.1963,-121.997,1020,7566,2015,04,22,9536,6655
316500,3,1.75,1600,14250,1,0,0,3,7,1070,530,1979,0,98023,47.3272,-122.355,2140,14960,2014,09,02,756,536
577000,3,1.75,1740,5500,1,0,0,5,7,970,770,1953,0,98116,47.577,-122.395,1740,7250,2014,09,03,18971,13276
575000,3,2.75,1710,3600,1,0,0,3,7,1590,120,1909,0,98119,47.642,-122.36,1710,3600,2014,10,10,16405,11478
1100000,4,3,2880,5500,2,0,0,4,9,1920,960,1926,0,98102,47.6448,-122.317,2110,5500,2015,01,27,9859,6881
250000,3,2,1660,13085,1,0,0,3,7,1010,650,1985,0,98001,47.3298,-122.277,1660,7778,2014,12,04,10786,7507
809950,4,2,2230,9900,1.5,0,0,5,9,2230,0,1959,0,98005,47.5979,-122.173,2510,11041,2014,06,06,10797,7514
279000,3,1,1320,5750,1.5,0,0,3,7,1320,0,1913,0,98108,47.5288,-122.325,1010,5700,2014,07,22,5351,3747
325000,3,1.75,2420,14862,1,0,0,3,8,1380,1040,1977,0,98023,47.3301,-122.365,2550,14675,2015,02,10,7358,5163
565000,3,1.75,2380,10450,1,0,0,3,8,1400,980,1977,0,98052,47.6409,-122.111,2150,9600,2015,02,09,19024,13313
605000,4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884,2014,06,20,40,29
346500,3,3.25,1570,2048,2,0,0,3,8,1290,280,2006,0,98126,47.548,-122.375,1570,2006,2014,10,21,16913,11854
340000,5,2.75,2440,6858,2,0,0,3,8,2440,0,2003,0,98030,47.3655,-122.174,2300,6858,2014,09,10,2743,1942
261000,2,1,970,12500,1,0,0,3,6,970,0,1941,0,98168,47.5102,-122.33,1280,6250,2015,05,05,7033,4934
530000,2,1.5,1580,3680,1,0,2,3,8,1280,300,1941,0,98126,47.5762,-122.377,1730,3680,2014,06,24,2569,1820
1260000,2,3,2210,3917,2,0,0,3,10,1500,710,2008,0,98122,47.6166,-122.291,1720,3933,2014,07,17,19913,13940
350000,3,2.75,1650,5700,2,0,0,4,7,1650,0,1988,0,98166,47.4563,-122.348,1320,7620,2015,02,24,3242,2281
450000,4,2.5,2240,4616,2,0,0,3,7,1840,400,2001,0,98056,47.5118,-122.194,2260,5200,2015,03,25,13648,9509
345000,3,2.5,1870,3584,2,0,0,3,8,1870,0,2003,0,98058,47.4521,-122.121,1900,3920,2014,09,03,18348,12861
190000,3,1,1090,8520,1,0,0,3,7,1090,0,1967,0,98003,47.3364,-122.307,1190,8520,2014,05,15,2776,1966
352500,3,1.75,1500,10269,1,0,0,3,7,1030,470,1958,0,98133,47.7672,-122.348,2090,10269,2015,04,20,12313,8561
325000,3,2.5,1740,5267,2,0,0,3,7,1740,0,1999,0,98038,47.3777,-122.023,2180,5000,2014,08,19,15300,10691
1110000,3,4,4160,31796,2,0,0,3,11,4160,0,1989,0,98053,47.6635,-122.017,4300,36192,2015,04,22,5962,4182
526750,5,2.5,2270,10700,1,0,0,4,8,1570,700,1963,0,98028,47.741,-122.256,2020,10230,2015,02,04,8015,5603
407000,4,2.5,2927,6000,2,0,0,3,7,2927,0,2011,0,98042,47.3737,-122.16,2533,6000,2014,08,13,20960,14663
269950,3,2.25,1610,7187,2,0,0,3,7,1610,0,1988,0,98042,47.3764,-122.117,1640,7194,2014,11,14,8205,5742
345000,3,1.75,1090,7200,1,0,0,3,7,1090,0,1968,0,98034,47.7227,-122.179,1240,7200,2014,05,13,12295,8547
400000,3,2.25,1740,11040,2,0,0,3,8,1740,0,1980,0,98028,47.7376,-122.242,1720,11778,2014,08,19,8508,5939
230000,4,1.5,1050,9516,1,0,0,4,7,1050,0,1969,0,98031,47.4151,-122.181,1390,9600,2014,10,28,9975,6956
265000,3,2.25,1840,6750,1,0,0,4,7,1270,570,1980,0,98031,47.4075,-122.172,1750,7004,2014,07,31,13303,9265
737000,2,2.25,2290,9772,1,0,0,3,8,2290,0,2007,0,98053,47.7199,-122.025,1810,6077,2014,07,09,12302,8553
431000,3,1.75,1660,12865,1,0,0,5,7,1660,0,1967,0,98056,47.5375,-122.175,1610,12400,2014,11,03,13680,9532
436000,4,1,1200,6600,1.5,0,2,3,7,1200,0,1908,0,98136,47.5372,-122.382,1810,6600,2015,01,20,13575,9458
487000,3,1.75,1770,10125,2,0,0,3,7,1770,0,1944,1978,98133,47.7289,-122.353,1680,9825,2014,07,22,9890,6902
291000,3,2.25,1860,13939,1,0,0,4,7,1860,0,1961,0,98030,47.3746,-122.217,1530,10018,2014,09,18,14389,10033
458000,3,1.5,1470,9570,1,0,0,3,7,1280,190,1941,0,98125,47.7032,-122.306,1390,9570,2015,04,22,4093,2866
852000,5,2.75,1990,3750,1.5,0,0,4,7,1990,0,1913,0,98107,47.6733,-122.358,1820,5000,2014,08,22,17880,12535
1300000,4,2.5,3470,4160,2,0,0,3,9,2480,990,1927,0,98119,47.63,-122.363,2280,5440,2014,10,02,12855,8943
548000,2,1,1470,3864,1,0,0,4,7,1170,300,1916,0,98103,47.6638,-122.345,1570,3864,2014,07,23,319,219
550000,4,2,2100,4500,1,0,0,5,7,1060,1040,1924,0,98105,47.6699,-122.317,1920,3900,2014,11,11,11967,8327
750000,4,2.75,3210,8520,1,0,2,4,7,1810,1400,1976,0,98177,47.7743,-122.388,2450,7360,2015,01,07,17687,12399
517500,3,1.5,1430,5200,1,0,3,4,7,1250,180,1940,0,98117,47.6988,-122.387,2210,6240,2015,02,24,749,532
1050000,5,3.25,4240,9588,2,0,0,3,9,4240,0,2014,0,98053,47.6901,-122.018,4080,8425,2014,10,27,21034,14713
176000,3,2.25,1540,5449,1,0,0,2,7,1180,360,1989,0,98023,47.29,-122.358,1460,6740,2014,12,10,18107,12696
925000,4,3.75,4420,9492,2,0,1,3,9,3420,1000,1962,2005,98125,47.7211,-122.283,2880,9900,2014,10,27,4469,3123
366000,3,2.25,1445,1028,2,0,0,3,7,1300,145,2005,0,98027,47.5339,-122.067,1445,1377,2014,08,29,19821,13877
305000,4,2.25,2340,5250,2,0,0,5,7,2340,0,1965,0,98118,47.5183,-122.266,1540,5250,2015,01,08,13075,9104
352000,4,2.5,2470,6116,1,0,0,3,7,1420,1050,1985,0,98038,47.3792,-122.047,1670,7627,2014,08,12,9466,6611
685000,3,1.75,2720,4720,1.5,0,0,4,7,1580,1140,1925,0,98105,47.6691,-122.29,1660,4640,2015,04,07,16607,11620
325000,4,2.5,2260,5702,2,0,0,3,8,2260,0,2002,0,98042,47.3488,-122.151,2450,6381,2015,01,06,3089,2178
549950,3,2.5,2380,2500,3,0,3,3,9,2380,0,1988,0,98126,47.5734,-122.375,2270,5000,2014,11,13,8505,5936
309950,1,1,1120,11800,1.5,0,0,3,7,1120,0,1950,0,98168,47.5123,-122.331,2330,9290,2014,08,13,10387,7233
360000,3,2.25,2130,8466,1,0,0,3,7,1290,840,1983,0,98055,47.4537,-122.211,2250,9682,2014,07,14,8501,5932
430000,2,1,700,4800,1,0,0,3,7,700,0,1922,0,98122,47.6147,-122.3,1440,4800,2015,01,06,6347,4455
445000,4,2.5,2170,5257,2,0,0,3,7,2170,0,1989,0,98115,47.6999,-122.305,1430,7528,2014,09,11,3046,2153
208000,3,1.75,1070,7200,1,0,0,3,7,1070,0,1994,0,98010,47.3134,-122.023,1480,7200,2014,07,29,1621,1148
416000,4,2.5,2890,6322,2,0,0,3,8,2890,0,2011,0,98038,47.3494,-122.044,2380,5738,2014,09,02,20482,14330
720000,3,1.5,1590,7080,1,0,2,3,8,1310,280,1952,0,98136,47.5244,-122.386,2080,7200,2014,09,17,1560,1101
550000,4,3.5,3540,4750,2,0,0,3,10,3540,0,2003,0,98055,47.473,-122.193,3310,5655,2014,12,04,1758,1242
240000,3,2,1030,11118,1,0,0,5,7,1030,0,1970,0,98003,47.3463,-122.308,1300,7920,2014,09,26,16939,11874
830000,5,3,3040,9601,1,0,0,5,9,1970,1070,1968,0,98040,47.5562,-122.22,3180,12390,2014,05,08,1721,1218
540000,3,1.75,2050,9580,1,0,0,3,8,1400,650,1984,0,98074,47.6212,-122.038,1740,11952,2014,07,01,5862,4115
479900,3,2,1980,12150,1,0,0,3,9,1980,0,1994,0,98042,47.3657,-122.152,2200,12150,2014,05,28,12169,8465
268500,4,1.75,1420,7500,1,0,0,4,7,1080,340,1981,0,98031,47.4025,-122.176,1500,7260,2014,11,17,585,418
585000,4,2.5,2820,5612,2,0,0,3,9,2820,0,2007,0,98028,47.7477,-122.236,1620,14881,2015,03,26,20415,14283
655000,2,2.25,1460,1851,2,0,0,3,9,1180,280,2014,0,98119,47.6461,-122.362,1800,4269,2015,03,19,19792,13855
415500,3,1.5,1240,12400,1,0,0,3,7,1240,0,1958,0,98007,47.607,-122.132,1640,9600,2014,09,22,9387,6563
130000,3,1,1110,7520,1,0,0,4,7,1110,0,1960,0,98033,47.683,-122.176,1440,8400,2015,02,09,1223,867
1450000,3,3.5,4110,15720,1,0,1,3,10,2230,1880,2000,0,98034,47.6996,-122.229,2500,15400,2015,02,24,18520,12974
470000,3,1.75,2290,14800,1,0,0,3,8,1620,670,1965,0,98155,47.7735,-122.273,2320,12474,2014,06,10,6402,4499
347000,3,1,1270,8400,1,0,0,3,7,1270,0,1955,0,98011,47.7604,-122.198,1390,8400,2014,06,23,5465,3821
493000,4,1.75,2030,18295,1.5,0,0,4,7,2030,0,1975,0,98034,47.7326,-122.179,1970,7307,2014,06,17,14093,9803
925000,3,2.75,3280,10558,1,0,2,4,9,2040,1240,1979,0,98006,47.5606,-122.133,3150,9998,2015,01,26,19047,13328
350000,2,1.75,1430,7921,1,0,0,3,7,1430,0,1983,0,98146,47.5088,-122.371,1290,8040,2015,03,16,19078,13352
2140000,4,3.75,5150,453895,2,0,3,3,11,4360,790,1997,0,98053,47.6795,-121.991,2500,215186,2014,11,25,8444,5897
492000,2,1,880,2970,1,0,0,3,7,880,0,1927,0,98103,47.6868,-122.349,1370,3060,2015,03,12,1151,818
1190000,4,2.5,3160,13194,2,0,0,5,10,3160,0,1965,0,98040,47.5472,-122.233,3490,13194,2014,06,23,15527,10844
345000,2,1,970,5750,1,0,0,4,6,970,0,1932,0,98126,47.5518,-122.37,1650,8625,2014,06,30,6734,4730
1200000,3,2,3660,22410,1,0,3,4,9,1830,1830,1947,0,98117,47.6972,-122.4,2680,8250,2015,03,31,936,664
615000,4,2.25,2330,7020,1,0,0,4,8,1450,880,1973,0,98006,47.562,-122.139,2330,8500,2014,09,22,16298,11402
